run_key,rs_method,sell_confirm_bars,max_positions,st_period,st_multiplier,fee_rate,slippage_rate,kind,asset_filter,rs_period,hurdle,start,end,initial_equity,final_equity,total_return,cagr,qqq_return,alpha,mdd,sharpe,calmar,sortino,win_rate,payoff_ratio,trade_count,corporate_action_cash,data_quality,data_version,price_mode,worst_year_return,median_year_return,positive_year_ratio,label,allocation_pct,catastrophe_loss_pct,stop_count,stop_gap_count,stop_intraday_count,average_stop_pnl,worst_stop_pnl
legacy_base,dual_momentum,5,1,10,3.0,0.001,0.0005,legacy_base,ichimoku_cloud+ema_trend,150,2.0,2015-10-19 00:00:00,2026-07-15 00:00:00,10000.0,2783243.9772567544,277.32439772567545,0.6891079579163357,6.145455415200001,271.17894231047546,-0.4260289590864122,1.316653095533279,1.617514357226037,2.158451791512164,0.6710526315789473,2.405034161303252,76,4355.9754,degraded,adjustment_factors=release-exact-factors-20260715-da009d5f18a94da6b137a488279a51be-adjustment_factors;corporate_actions=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-corporate_actions;daily_price_raw=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-daily_price_raw;release=20260715-20260719T130946573430Z;symbol_history=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-symbol_history,total_return_adjusted,-0.2632653158453774,0.3798409182655895,0.75,"Legacy: sell=5, close-confirmed ST, 100% allocation",1.0,,0,0,0,,
ablation_sell1_pos1,dual_momentum,1,1,10,3.0,0.001,0.0005,ablation_sell1_pos1,ichimoku_cloud+ema_trend,150,2.0,2015-10-19 00:00:00,2026-07-15 00:00:00,10000.0,2797714.7275515734,278.77147275515733,0.6899238977330155,6.145455415200001,272.62601733995734,-0.4406511517759802,1.3442300213937273,1.5656918062108265,2.241129486599958,0.6756756756756757,2.2472240379651334,74,2075.3476,degraded,adjustment_factors=release-exact-factors-20260715-da009d5f18a94da6b137a488279a51be-adjustment_factors;corporate_actions=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-corporate_actions;daily_price_raw=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-daily_price_raw;release=20260715-20260719T130946573430Z;symbol_history=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-symbol_history,total_return_adjusted,-0.1274289167216937,0.3896001343469383,0.75,"Baseline: sell=1, close-confirmed ST, 100% allocation",1.0,,0,0,0,,
st_stop_100pct,dual_momentum,1,1,10,3.0,0.001,0.0005,risk_control,ichimoku_cloud+ema_trend,150,2.0,2015-10-19 00:00:00,2026-07-15 00:00:00,10000.0,714576.0288417115,70.45760288417115,0.4882118602941734,6.145455415200001,64.31214746897115,-0.48574800807847807,1.1081526604673095,1.0050722847540678,1.8152722674998625,0.5566037735849056,2.3298148756117096,106,,degraded,adjustment_factors=release-exact-factors-20260715-da009d5f18a94da6b137a488279a51be-adjustment_factors;corporate_actions=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-corporate_actions;daily_price_raw=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-daily_price_raw;release=20260715-20260719T130946573430Z;symbol_history=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-symbol_history,total_return_adjusted,-0.2740042512964529,0.3211547092934648,0.6666666666666666,"Prior-day ST stop, 100% allocation",1.0,,74,9,65,0.01899310701767443,-0.184651632378651
st_stop_cat15_100pct,dual_momentum,1,1,10,3.0,0.001,0.0005,risk_control,ichimoku_cloud+ema_trend,150,2.0,2015-10-19 00:00:00,2026-07-15 00:00:00,10000.0,752518.5573308052,74.25185573308052,0.4953995457590459,6.145455415200001,68.10640031788051,-0.48560304058399484,1.1191850996078236,1.0201738958703175,1.8339640788982594,0.5514018691588785,2.4182050509058737,107,,degraded,adjustment_factors=release-exact-factors-20260715-da009d5f18a94da6b137a488279a51be-adjustment_factors;corporate_actions=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-corporate_actions;daily_price_raw=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-daily_price_raw;release=20260715-20260719T130946573430Z;symbol_history=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-symbol_history,total_return_adjusted,-0.2740042512964529,0.321384197155127,0.75,"Prior-day ST stop + 15% catastrophe, 100% allocation",1.0,0.15,75,9,66,0.019472926265809758,-0.15464525170345778
st_stop_cat15_75pct,dual_momentum,1,1,10,3.0,0.001,0.0005,risk_control,ichimoku_cloud+ema_trend,150,2.0,2015-10-19 00:00:00,2026-07-15 00:00:00,10000.0,553332.4397937224,54.333243979372234,0.45318763623687475,6.145455415200001,48.18778856417224,-0.436670928719492,1.1467896071068897,1.037824151852327,1.8835440415334246,0.5514018691588785,2.418205050905874,107,,degraded,adjustment_factors=release-exact-factors-20260715-da009d5f18a94da6b137a488279a51be-adjustment_factors;corporate_actions=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-corporate_actions;daily_price_raw=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-daily_price_raw;release=20260715-20260719T130946573430Z;symbol_history=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-symbol_history,total_return_adjusted,-0.2481383523891758,0.26345036936970145,0.75,"Prior-day ST stop + 15% catastrophe, 75% allocation",0.75,0.15,75,9,66,0.019472926265809758,-0.15464525170345766
st_stop_cat15_80pct,dual_momentum,1,1,10,3.0,0.001,0.0005,risk_control,ichimoku_cloud+ema_trend,150,2.0,2015-10-19 00:00:00,2026-07-15 00:00:00,10000.0,589100.2848700199,57.91002848700199,0.46168933545172797,6.145455415200001,51.76457307180199,-0.44472373503735885,1.140038615855402,1.0381486281881132,1.870847805280987,0.5514018691588785,2.4182050509058737,107,,degraded,adjustment_factors=release-exact-factors-20260715-da009d5f18a94da6b137a488279a51be-adjustment_factors;corporate_actions=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-corporate_actions;daily_price_raw=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-daily_price_raw;release=20260715-20260719T130946573430Z;symbol_history=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-symbol_history,total_return_adjusted,-0.2510132906051461,0.27768159164021067,0.75,"Prior-day ST stop + 15% catastrophe, 80% allocation",0.8,0.15,75,9,66,0.019472926265809747,-0.15464525170345766
