removed_top_trades,removed_pnl_value,value_replay_final_equity,value_replay_return,value_replay_return_display,pct_product_final_equity,pct_product_return,pct_product_return_display,original_final_equity,original_return,original_return_display,original_pct_product_final_equity
0,0.0,2867338.442308837,285.73384423088373,+28573.38%,2909143.9614547715,289.91439614547716,+28991.44%,2867338.442308837,285.73384423088373,+28573.38%,2909143.9614547715
1,1360932.9403074004,1506405.5020014367,149.64055020014368,+14964.06%,1571519.0000350152,156.1519000035015,+15615.19%,2867338.442308837,285.73384423088373,+28573.38%,2909143.9614547715
3,2334252.799827421,533085.642481416,52.3085642481416,+5230.86%,980054.5631963307,97.00545631963307,+9700.55%,2867338.442308837,285.73384423088373,+28573.38%,2909143.9614547715
5,2883990.0439956565,-16651.601686819457,-2.665160168681946,-266.52%,503491.7691069827,49.34917691069827,+4934.92%,2867338.442308837,285.73384423088373,+28573.38%,2909143.9614547715
10,3643919.4579635514,-776581.0156547143,-78.65810156547143,-7865.81%,131676.84656256103,12.167684656256103,+1216.77%,2867338.442308837,285.73384423088373,+28573.38%,2909143.9614547715
