rank,best,strategy_path,strategy_name,strategy_type,total_return,cagr,mdd,calmar,sharpe,sortino,win_rate,payoff_ratio,trade_count,composite_score
1,True,triple_filters_standalone.yaml,triple_filters_standalone,triple_filters,1.02696837861451,0.6056237167520253,-0.37601396184419034,1.6106415670888807,1.2217417169962754,1.8027809248515065,0.4878048780487805,2.6448416739187746,41,96.42857142857143
2,False,simple_supertrend.yaml,simple_supertrend_default,simple_supertrend,0.8586465527691871,0.5149952004329619,-0.40192538823821566,1.281320402999104,1.016868130616174,1.425697952863795,0.3409090909090909,4.177451108775935,44,78.57142857142857
3,False,triple_filters.yaml,triple_filters_research,leader_rotation,-0.5442998968695094,-0.4094558287548846,-0.7597110064180915,-0.5389626124878714,-0.30296441395513357,-0.4281592837616923,0.43478260869565216,1.1440018266814247,23,50.0
4,False,leader_rotation.yaml,leader_rotation_default,leader_rotation,-0.7762841882329541,-0.6334126672642142,-0.8225017435054279,-0.7701049538991452,-0.6403452867633717,-0.8764277415370045,0.4090909090909091,0.7098982612099699,22,25.0
