param_entry,param_market_filter,param_asset_filter,param_rs_method,param_rs_period,param_sell_confirm_bars,param_hurdle,param_max_positions,param_st_period,param_st_multiplier,start,end,total_return,qqq_return,alpha,mdd,cagr,calmar,sharpe,sortino,win_rate,payoff_ratio,trade_count,score,source
single,1d,ichimoku_cloud,dual_momentum,50,5,1.0,4,10,3.0,2010-04-27 00:00:00,2026-07-16 00:00:00,11.76915186704346,13.30766113210844,-1.5385092650649792,-0.42795513490872317,0.1700421322171286,0.3973363522169122,0.7087235267587478,1.0325684965175466,0.6359649122807017,0.9388413311355908,684,11.448049464919244,optuna
single,none,ichimoku_cloud,vol_adjusted,50,3,1.0,5,10,3.0,2010-04-27 00:00:00,2026-07-16 00:00:00,2.79878187513324,13.30766113210844,-10.508879256975199,-0.4487556030948352,0.08577175140521431,0.19113243559231555,0.4597698948707861,0.6530248338126001,0.6426470588235295,0.6990631624781455,1360,2.4535704895034955,optuna
single,none,ichimoku_cloud,dual_momentum,50,2,1.25,5,10,3.0,2010-04-27 00:00:00,2026-07-16 00:00:00,5.42677460559126,13.30766113210844,-7.8808865265171795,-0.5788981565081437,0.12154731764230231,0.20996321421277914,0.5482181497562368,0.7760295560249515,0.6244897959183674,0.8286150995707162,1225,4.980102624877431,optuna
single,1d,ichimoku_cloud,dual_momentum,100,5,2.0,5,10,3.0,2010-05-28 00:00:00,2026-07-16 00:00:00,12.4433119109918,14.481140922450715,-2.037829011458914,-0.37748643242999647,0.17474924648587797,0.46292854914271553,0.7842834847613485,1.1429663820762899,0.5996758508914101,1.2182526262145437,617,12.164851269590644,optuna
single,none,ichimoku_cloud+ema_trend,dual_momentum,50,1,1.0,5,10,3.0,2010-10-19 00:00:00,2026-07-16 00:00:00,5.139701567649701,12.890987931534816,-7.751286363885115,-0.5048556865624728,0.12220756788256293,0.24206435845987145,0.5555511233041303,0.7863351842828679,0.628992628992629,0.790323684152432,1221,4.752483552098846,optuna
single,1d,ichimoku_cloud+ema_trend,vol_adjusted,100,3,2.0,3,10,3.0,2010-10-19 00:00:00,2026-07-16 00:00:00,9.089238027282079,12.890987931534816,-3.8017499042527376,-0.3338355269424469,0.15818496063656595,0.4738410021406648,0.6968915444734136,1.0335835557504374,0.6314779270633397,0.9683678554414661,521,8.843076352062322,optuna
single,none,none,dual_momentum,50,5,1.0,5,10,3.0,2010-03-18 00:00:00,2026-07-16 00:00:00,8.378788229779406,13.759355538704142,-5.380567308924736,-0.5247482201381186,0.14692931191477165,0.2799996384477464,0.6120057475451786,0.8801722872201081,0.6432481751824818,0.8065248039158553,1096,7.977349826095267,optuna
single,none,none,dual_momentum,100,5,1.0,6,10,3.0,2010-05-28 00:00:00,2026-07-16 00:00:00,8.451269150567304,14.481140922450715,-6.0298717718834105,-0.4976744388145482,0.1493735169720325,0.3001430359329637,0.6521585147555627,0.9290508865328073,0.6005560704355886,1.02122065570922,1079,8.072694354958333,optuna
single,1d,none,skip_recent,100,1,2.0,6,10,3.0,2010-05-28 00:00:00,2026-07-16 00:00:00,2.4328229500216936,14.481140922450715,-12.048317972429022,-0.3727952993348407,0.07944332012858757,0.21310172169642205,0.4622685875577029,0.6531078963595182,0.5481023830538394,1.0497296051553118,1133,2.148454768180552,optuna
single,1d,none,vol_adjusted,50,3,2.0,6,10,3.0,2010-03-18 00:00:00,2026-07-16 00:00:00,2.262765248543941,13.759355538704142,-11.496590290160201,-0.32749181818270734,0.07511087982522935,0.2293519277581618,0.4601893391469085,0.6516154353631325,0.629887054735013,0.769671995311658,1151,2.014577474172182,optuna
