universe,start,end,total_return,cagr,qqq_return,alpha,mdd,sharpe,win_rate,payoff_ratio,trade_count,final_equity,corporate_action_cash
index_events,2015-10-19 00:00:00,2026-07-15 00:00:00,277.32439772567545,0.6891079579163357,6.145455415200001,271.17894231047546,-0.42602895908641225,1.316653095533279,0.6710526315789473,2.405034161303252,76,2783243.9772567544,4355.9754
wikipedia_quarterly,2015-10-19 00:00:00,2026-07-15 00:00:00,295.24500234105386,0.6989522293640451,6.145455415200001,289.0995469258539,-0.49420279716156756,1.3335750872665149,0.6891891891891891,2.2864136864591833,74,2962450.0234105387,3671.3354
