iso_year,iso_week,week,account_id,account_name,hypothesis,start_date,end_date,trading_days,start_equity,end_equity,weekly_return,cumulative_return,worst_drawdown,orders,fills,latest_position,latest_status
2026,31,2026-W31,A,Original Best,수익성 가설,2026-07-27,2026-07-31,5,10000.0,10000.0,0.0,0.0,0.0,0,0,,processed
2026,31,2026-W31,B,Stable Plateau,견고성 가설,2026-07-27,2026-07-31,5,10000.0,10000.0,0.0,0.0,0.0,0,0,,processed
2026,31,2026-W31,C,Original Best - No Market Filter,수익 극대화·시장필터 제거 가설,2026-07-27,2026-07-31,5,10000.0,9317.946820580002,-0.0682053179419998,-0.0682053179419998,-0.0682053179419998,1,1,FTNT,processed
