trade_no,symbol,entry_time,exit_time,entry_price,exit_price,quantity,entry_value,exit_value,pnl_value,pnl_pct,exit_reason,pnl_pct_display
1,BIDU,2010-10-20,2010-12-09,102.11465061187744,108.12900152206421,97,9954.64671489887,10436.070581902028,481.4238670031573,0.04836172300144237,Leader rotation,+4.84%
2,BKNG,2010-12-09,2011-02-17,16.840396881103516,18.2658207321167,619,10476.32669775009,11250.010318014336,773.6836202642462,0.07385065802027757,Leader rotation,+7.39%
3,NVDA,2011-02-17,2011-03-02,0.5694200186431407,0.539148735255003,19122,10942.891844476608,10258.054104968434,-684.8377395081734,-0.06258288478413898,Supertrend down,-6.26%
4,NFLX,2011-04-21,2011-06-23,3.496433337330818,3.493245093226433,3004,10555.802174068485,10441.239718751944,-114.56245531654167,-0.010853031671811508,Supertrend down,-1.09%
5,BIIB,2011-06-30,2011-08-09,109.43290367126464,86.6927286529541,95,10448.106478013991,8194.630175920485,-2253.476302093506,-0.21568274661399256,Supertrend down,-21.57%
6,DLTR,2011-09-16,2011-10-24,37.854398317337036,40.01471417427063,215,8179.3891164186,8560.147729730845,380.75861331224496,0.046550984174104526,Leader rotation,+4.66%
7,BIIB,2011-10-24,2011-12-02,108.90157224655151,116.76734756469727,78,8536.794248407172,9062.313844496155,525.5195960889832,0.06155936066832535,Leader rotation,+6.16%
8,DLTR,2011-12-02,2012-01-18,41.43332683563232,41.78028582572937,218,9077.627576418685,9062.561798458957,-15.065777959727711,-0.0016596602838019336,Leader rotation,-0.17%
9,FAST,2012-01-18,2012-01-26,11.3783753824234,11.750549733638763,773,8839.461591466354,9037.75906938225,198.2974779158958,0.0224332077088647,Leader rotation,+2.24%
10,MNST,2012-01-26,2012-02-15,9.05006890296936,9.1678560090065,1012,9204.463078454015,9231.480929709007,27.01785125499191,0.002935298998399505,Leader rotation,+0.29%
11,STX,2012-02-15,2012-04-17,26.67652561187744,28.82774961948395,347,9303.03815925808,9953.212972371126,650.1748131130462,0.0698884388070593,Supertrend down,+6.99%
12,MNST,2012-06-20,2012-07-05,12.740103847980498,12.425525279045106,778,9961.35979769747,9618.723373761606,-342.6364239358645,-0.03439655136390751,Supertrend down,-3.44%
13,AAPL,2012-07-05,2012-07-20,21.502191677093506,21.839193706512454,445,9616.317672788144,9669.84899340105,53.53132061290671,0.005566717160809587,Leader rotation,+0.56%
14,STX,2012-07-20,2012-08-10,27.14769992351532,32.54842606544495,354,9658.337201789043,11464.532113031675,1806.1949112426319,0.18700888916034786,Leader rotation,+18.70%
15,EXPE,2012-08-10,2012-08-23,56.05979816436767,51.37125,203,11437.039722503469,10376.22193125,-1060.8177912534684,-0.09275282914041194,Supertrend down,-9.28%
16,STX,2012-08-23,2012-09-13,34.836875,30.034725608825685,295,10328.262515624998,8815.942834330559,-1512.3196812944389,-0.14642537203198924,Supertrend down,-14.64%
17,VRTX,2012-09-13,2012-09-21,56.11994954109191,58.044523630142216,158,8911.286787629982,9125.179559894657,213.89277226467493,0.024002456363719116,Leader rotation,+2.40%
18,EXPE,2012-09-21,2012-10-18,59.12744954109191,54.06450076103211,153,9091.732278685997,8230.509273355723,-861.2230053302737,-0.09472595308918885,Supertrend down,-9.47%
19,BBBY,2012-11-26,2013-02-05,14.67660034418106,13.346550114154816,560,8259.990673705099,7436.697723607063,-823.2929500980354,-0.09967238252688482,Supertrend down,-9.97%
20,SIRI,2013-02-05,2013-02-14,31.378249235153195,31.720499238967896,231,7284.6174511869895,7290.798147580576,6.1806963935869135,0.0008484586095292013,Leader rotation,+0.08%
21,GILD,2013-02-14,2013-05-01,41.28295030593872,50.323875761032106,179,7426.596345286845,8962.933892418623,1536.3375471317786,0.20686967161030467,Leader rotation,+20.69%
22,BBBY,2013-05-01,2013-07-10,20.851999235153198,27.41129954338074,428,8969.278951008797,11673.376023544122,2704.0970725353254,0.3014843319407732,Leader rotation,+30.15%
