trade_no,symbol,entry_time,exit_time,entry_price,exit_price,quantity,entry_value,exit_value,pnl_value,pnl_pct,exit_reason,entry_delay_bars,exit_delay_bars,entry_price_penalty,exit_price_penalty,pnl_pct_display
1,BIDU,2010-10-21,2010-12-10,102.06100713729857,107.69612500000001,97,9909.81761001028,10436.077600875002,526.2599908647226,0.0531049118737692,Leader rotation,1,1,0.0,0.0,+5.31%
2,BKNG,2010-12-10,2011-02-18,16.581486825942992,18.210889313697816,633,10506.577241982735,11515.965442635146,1009.3882006524109,0.09607202968242068,Leader rotation,1,1,0.0,0.0,+9.61%
3,NVDA,2011-02-18,2011-03-03,0.63881922519207,0.5304846016466618,18039,11535.18366324299,9559.842317375027,-1975.3413458679624,-0.1712448976571056,Supertrend down,1,1,0.0,0.0,-17.12%
4,NFLX,2011-04-25,2011-06-24,3.640533432126045,3.669593204379082,2623,9558.668311659081,9615.717632111246,57.049320452164466,0.005968333515933288,Supertrend down,1,1,0.0,0.0,+0.60%
5,BIIB,2011-07-01,2011-08-10,107.40367347335815,86.45675,88,9460.974788921172,7600.585805999999,-1860.388982921173,-0.19663819262045745,Supertrend down,1,1,0.0,0.0,-19.66%
6,DLTR,2011-09-19,2011-10-25,37.53876045799255,40.70963454246521,205,7703.141339782362,8337.129606124163,633.9882663418011,0.0823025618220985,Leader rotation,1,1,0.0,0.0,+8.23%
7,BIIB,2011-10-25,2011-12-05,109.51472908401489,114.80257061004639,75,8221.818285982416,8601.582602957726,379.76431697531007,0.04618982124948934,Leader rotation,1,1,0.0,0.0,+4.62%
8,DLTR,2011-12-05,2012-01-20,41.83590612602234,42.96350811004639,209,8752.448084719006,8970.393821804697,217.94573708569078,0.024901117376086468,Leader rotation,1,1,0.0,0.0,+2.49%
9,FAST,2012-01-20,2012-01-27,11.408201402664185,11.659167461872102,784,8952.973929588408,9131.64650281762,178.6725732292125,0.01995678471024287,Leader rotation,1,1,0.0,0.0,+2.00%
10,MNST,2012-01-27,2012-02-13,8.892777487277984,9.132931059360505,1014,9026.293648471974,9251.53130209736,225.23765362538688,0.024953503885120742,Leader rotation,1,1,0.0,0.0,+2.50%
11,STX,2012-02-13,2012-04-18,26.493239542007444,28.585700381278993,347,9202.347275197659,9909.318794271507,706.971519073848,0.07682512927753682,Supertrend down,1,1,0.0,0.0,+7.68%
12,MNST,2012-06-21,2012-07-06,12.634647258281706,12.23554596042633,794,10041.94183299875,9705.308469085927,-336.63336391282246,-0.033522735892236866,Supertrend down,1,1,0.0,0.0,-3.35%
