trade_no,symbol,entry_time,exit_time,entry_price,exit_price,quantity,entry_value,exit_value,pnl_value,pnl_pct,exit_reason,pnl_pct_display
1,BIDU,2010-10-20,2010-12-09,101.9618606109619,108.29160152435303,97,9910.081080221833,10483.276777166519,573.1956969446856,0.05783965764807397,Leader rotation,+5.78%
2,BKNG,2010-12-09,2011-02-17,16.815199279785155,18.29328813171387,627,10564.216208322143,11446.951875267427,882.7356669452838,0.08355903074474136,Leader rotation,+8.36%
3,NVDA,2011-02-17,2011-03-02,0.5685680186152458,0.53995948523283,19551,11138.305478610562,10535.634399995484,-602.6710786150779,-0.054107968197892986,Supertrend down,-5.41%
4,NFLX,2011-04-21,2011-06-23,3.491201766252517,3.498498093366623,3098,10837.374557993999,10816.6703990633,-20.704158930699123,-0.0019104404687597665,Supertrend down,-0.19%
5,BIIB,2011-06-30,2011-08-09,109.26916366577147,86.82309365844726,98,10729.794795324096,8491.645852170775,-2238.148943153321,-0.2085919615283488,Supertrend down,-20.86%
6,DLTR,2011-09-16,2011-10-24,37.79775831985473,40.07488667678833,226,8559.377967047743,9038.810540176255,479.43257312851165,0.05601254845553627,Leader rotation,+5.60%
7,BIIB,2011-10-24,2011-12-02,108.73862725067137,116.94293756103515,82,8934.400569424162,9570.142238244873,635.7416688207104,0.07115661133399187,Leader rotation,+7.12%
8,DLTR,2011-12-02,2012-01-18,41.37133183288574,41.84311332321167,234,9700.253432193053,9771.705940596266,71.45250840321387,0.007366045526818743,Leader rotation,+0.74%
9,FAST,2012-01-18,2012-01-26,11.361350381851196,11.76821973323822,835,9505.70102398344,9806.810550299406,301.1095263159659,0.031676730159748256,Leader rotation,+3.17%
10,MNST,2012-01-26,2012-02-15,9.036527652740478,9.181642258644104,1103,9987.224580974693,10107.096708461877,119.87212748718412,0.01200254650481547,Leader rotation,+1.20%
11,STX,2012-02-15,2012-04-17,26.63661061096191,28.871099618911742,382,10195.535623894224,11006.702534315436,811.1669104212124,0.07956099025539798,Supertrend down,+7.96%
12,MNST,2012-06-20,2012-07-05,12.721041348457335,12.444210279464722,864,11012.961684517273,10730.294086094604,-282.66759842266947,-0.025666810302269694,Supertrend down,-2.57%
13,AAPL,2012-07-05,2012-07-20,21.470018821716305,21.8720345993042,498,10713.453511961148,10870.488683992584,157.03517203143565,0.014657754556559377,Leader rotation,+1.47%
14,STX,2012-07-20,2012-08-10,27.107079923629758,32.59737106704712,400,10864.517633390808,13012.87052996521,2148.3528965744026,0.19774029267269944,Leader rotation,+19.77%
15,EXPE,2012-08-10,2012-08-23,55.97591816711425,51.4485,232,13012.385840800047,11912.179896000001,-1100.2059448000455,-0.08455067028141561,Supertrend down,-8.46%
16,STX,2012-08-23,2012-09-13,34.784749999999995,30.07989060974121,339,11815.614310499997,10176.688750868865,-1638.9255596311323,-0.13870845108533159,Supertrend down,-13.87%
17,VRTX,2012-09-13,2012-09-21,56.03597954177856,58.131808628082275,183,10275.093424657767,10616.844736981178,341.7513123234112,0.033260165937108566,Leader rotation,+3.33%
18,EXPE,2012-09-21,2012-10-18,59.03897954177856,54.14580076217651,179,10589.113292654318,9672.714139756736,-916.3991528975821,-0.08654163267223602,Supertrend down,-8.65%
19,BBBY,2012-11-26,2013-02-05,14.654640343666076,13.366620114326476,662,9720.774651321955,8831.00511065276,-889.7695406691946,-0.09153278134558873,Supertrend down,-9.15%
20,SIRI,2013-02-05,2013-02-14,31.331299236297603,31.768199237823485,276,8664.733466396574,8750.486943660002,85.75347726342807,0.009896839596508666,Leader rotation,+0.99%
21,GILD,2013-02-14,2013-05-01,41.22118030548095,50.39955076217652,215,8880.27887320976,10814.231607040216,1933.952733830456,0.21778063070348508,Leader rotation,+21.78%
22,BBBY,2013-05-01,2013-07-10,20.820799236297606,27.45251954269409,520,10848.469234080505,14246.759541876525,3398.29030779602,0.3132506747698818,Leader rotation,+31.33%
23,NFLX,2013-07-10,2013-09-04,3.5113649413585657,4.122159743785859,3999,14070.03229729389,16451.54778176885,2381.5154844749613,0.16926155065990867,Leader rotation,+16.93%
24,MU,2013-09-04,2013-10-02,14.984970267295836,17.632349618911743,1107,16621.538810068283,19479.97300607903,2858.4341960107486,0.17197169459901573,Leader rotation,+17.20%
25,TSLA,2013-10-02,2013-10-16,12.585239789009092,12.314340165138244,1506,18991.27786449219,18508.3054961208,-482.97236837138917,-0.02543127280941937,Supertrend down,-2.54%
26,META,2013-10-16,2013-11-11,50.09004091644287,46.992960914611814,378,18971.903537348233,17727.81254727182,-1244.0909900764127,-0.06557544358304823,Supertrend down,-6.56%
27,NFLX,2013-11-11,2013-11-15,4.758324604511261,4.917933950901031,3725,17760.208670108055,18282.66535917213,522.4566890640745,0.02941726072979156,Leader rotation,+2.94%
28,MU,2013-11-15,2013-12-19,19.399379159927367,21.70826954269409,940,18271.88724315239,20364.96182339218,2093.0745802397905,0.11455163620409237,Leader rotation,+11.46%
29,META,2013-12-19,2014-03-03,54.384331832885735,66.89303908538818,366,19944.474781737852,24433.88660064157,4489.411818903718,0.22509551482470957,Leader rotation,+22.51%
30,ILMN,2014-03-03,2014-03-20,166.98588034057616,156.0208706817627,148,24763.338110986082,23044.906683179073,-1718.4314278070087,-0.06939417537753678,Supertrend down,-6.94%
31,META,2014-03-20,2014-03-31,68.07801213836669,60.71921878051758,339,23124.60300713612,20542.64753626227,-2581.9554708738506,-0.11165404526413159,Supertrend down,-11.17%
32,ILMN,2014-05-27,2014-06-26,156.63507051086424,166.56479008483888,131,20560.232625397064,21776.347526111666,1216.1149007146014,0.05914888818973729,Leader rotation,+5.91%
33,TSLA,2014-06-26,2014-07-15,15.827144035339353,15.100217270851136,1370,21726.553703071746,20645.923065743922,-1080.630637327824,-0.04973778410033991,Supertrend down,-4.97%
34,ILMN,2014-07-15,2014-07-24,172.55565353393553,178.2165482940674,119,20575.191016079403,21165.35370850003,590.1626924206284,0.028683218151385192,Supertrend down,+2.87%
35,VRTX,2014-07-24,2014-08-07,97.9678727493286,86.85306243896484,213,20908.891209398207,18462.70289490051,-2446.1883144976964,-0.11699273242180219,Supertrend down,-11.70%
36,TSLA,2014-08-19,2014-09-08,17.27525741958618,18.48949142074585,1084,18763.83180091708,20002.523482688324,1238.6916817712445,0.06601485746161417,Leader rotation,+6.60%
37,AVGO,2014-09-08,2014-10-09,8.815807160377501,8.283707817077637,2273,20078.406334889136,18791.210132481032,-1287.196202408104,-0.06410848455494267,Supertrend down,-6.41%
38,MNST,2014-10-22,2014-11-03,16.46144469451904,16.791524110794068,1139,18787.084678071304,19087.294870270052,300.2101921987487,0.015979604996892327,Leader rotation,+1.60%
39,GILD,2014-11-03,2014-11-24,112.42230755615233,101.00889060974121,169,19037.36871694372,17036.36150802017,-2001.007208923551,-0.10510944231187824,Supertrend down,-10.51%
40,VRTX,2014-11-24,2015-02-06,111.66155305480956,107.01288274383545,152,17006.501176459715,16233.426260708862,-773.0749157508526,-0.0454576110470587,Supertrend down,-4.55%
41,MNST,2015-02-13,2015-04-23,19.95493446540832,23.30999872970581,816,16315.792976820736,18982.917045513062,2667.1240686923265,0.16346885943462341,Leader rotation,+16.35%
42,EA,2015-04-23,2015-07-17,59.81975831985473,72.87704695129395,316,18940.849716332243,22983.08854293567,4042.2388266034286,0.21341380598769555,Leader rotation,+21.34%
43,NFLX,2015-07-17,2015-08-28,11.745734206199645,11.623365228652954,1957,23032.37464521577,22701.431900968884,-330.9427442468841,-0.014368589836898371,Supertrend down,-1.44%
44,AMZN,2015-08-28,2015-10-06,25.900874999999996,27.247724618911743,874,22682.639479499998,23766.882294295006,1084.2428147950086,0.04780055759273161,Supertrend down,+4.78%
45,AMZN,2015-10-16,2015-11-05,28.291763713836666,32.32264454269409,839,23784.26333542078,27064.461373777704,3280.1980383569244,0.13791463675361681,Leader rotation,+13.79%
46,NFLX,2015-11-05,2015-12-11,11.386375,12.132855457305908,2343,26731.63317825,28370.425775794807,1638.7925975448088,0.061305367562734636,Leader rotation,+6.13%
47,NVDA,2015-12-11,2016-01-13,0.8170662762522697,0.7594897223711014,35063,28706.0924339218,26576.728159226932,-2129.364274694868,-0.07417813063886791,Supertrend down,-7.42%
48,NVDA,2016-03-02,2017-01-10,0.815064242362976,2.692554784297943,32363,26430.67992374418,86964.87218326586,60534.19225952168,2.2903002281504072,Supertrend down,+229.03%
49,MU,2017-01-10,2017-01-30,22.38236061096191,23.796179695129396,3868,86748.12078488707,91859.53581463899,5111.415029751923,0.058922487121385814,Leader rotation,+5.89%
50,STX,2017-01-30,2017-02-03,44.44440152740478,45.26469137191773,2070,92183.91098405136,93510.51531758996,1326.6043335386057,0.014390844556032345,Leader rotation,+1.44%
51,NVDA,2017-02-03,2017-02-21,2.8891362690925595,2.7030442385673523,32303,93514.42443829794,87141.8051623643,-6372.619275933641,-0.06814584289227354,Supertrend down,-6.81%
52,MU,2017-02-21,2017-03-21,23.64362084007263,26.273699237823486,3679,87158.85083276845,96467.6176169607,9308.766784192252,0.10680231204577217,Leader rotation,+10.68%
53,INCY,2017-03-21,2017-04-07,148.5083606109619,139.34051573181154,645,95979.46837925856,89694.8833817244,-6284.584997534155,-0.06547843099839745,Supertrend down,-6.55%
54,WDC,2017-04-07,2017-04-25,63.60095196533202,65.69387628936768,1374,87562.48341636693,90082.859249548,2520.3758331810677,0.028783740876745956,Leader rotation,+2.88%
55,CSX,2017-04-25,2017-05-12,16.746729541778564,17.339309898376463,5456,91552.89669270373,94414.06825593089,2861.171563227166,0.03125156785405325,Leader rotation,+3.13%
56,NVDA,2017-05-12,2017-07-11,3.1689157767295835,3.8424038071632385,30102,95581.48411653614,115432.71132442134,19851.227207885197,0.20768904554444778,Supertrend down,+20.77%
57,NVDA,2017-07-18,2017-07-20,4.048544373989105,4.144101852893829,28027,113695.49027613223,115914.44914579325,2218.9588696610153,0.019516683241101562,Leader rotation,+1.95%
58,VRTX,2017-07-20,2017-11-01,160.09994244384765,147.2026560974121,730,117106.7038999768,107243.0230732086,-9863.680826768192,-0.08422814833207981,Supertrend down,-8.42%
59,NVDA,2017-11-01,2017-12-06,5.238983616352081,4.637857423782348,20533,107787.19469574638,95038.66822955791,-12748.526466188472,-0.11827496301554241,Supertrend down,-11.83%
