trade_no,symbol,entry_time,exit_time,entry_price,exit_price,quantity,entry_value,exit_value,pnl_value,pnl_pct,exit_reason,pnl_pct_display
1,BIDU,2010-10-20,2010-12-09,102.01279061126709,108.2374015235901,97,9924.926411360786,10467.530863944874,542.604452584088,0.05467087916772706,Leader rotation,+5.47%
2,BKNG,2010-12-09,2011-02-17,16.82359848022461,18.284132331848145,624,10529.419228015136,11375.070679348022,845.6514513328857,0.0803132094012271,Leader rotation,+8.03%
3,NVDA,2011-02-17,2011-03-02,0.5688520186245442,0.539689235240221,19406,11072.259700248187,10441.789671174514,-630.4700290736728,-0.05694140547114701,Supertrend down,-5.69%
4,NFLX,2011-04-21,2011-06-23,3.4929456232786182,3.496747093319893,3067,10745.002819275307,10692.349765206476,-52.6530540688309,-0.004900236412630599,Supertrend down,-0.49%
5,BIIB,2011-06-30,2011-08-09,109.32374366760254,86.77963865661621,97,10636.216345164717,8392.372074842699,-2243.844270322019,-0.21096263911010826,Supertrend down,-21.10%
6,DLTR,2011-09-16,2011-10-24,37.8166383190155,40.0548291759491,223,8458.40967617588,8905.430225517941,447.0205493420617,0.05284924311494965,Leader rotation,+5.28%
7,BIIB,2011-10-24,2011-12-02,108.79294224929811,116.88440756225586,81,8838.665007159725,9439.234101505095,600.5690943453701,0.06794794166979767,Leader rotation,+6.79%
8,DLTR,2011-12-02,2012-01-18,41.39199683380127,41.82217082405091,229,9507.203576765312,9548.545287351535,41.34171058622269,0.004348461695640848,Leader rotation,+0.43%
9,FAST,2012-01-18,2012-01-26,11.367025382041932,11.762329733371736,814,9280.51693696508,9545.8127937557,265.29585679062075,0.02858632321804455,Leader rotation,+2.86%
10,MNST,2012-01-26,2012-02-15,9.041041402816774,9.177046842098237,1072,9721.072372971039,9808.280832085122,87.20845911408287,0.008971073948236485,Leader rotation,+0.90%
11,STX,2012-02-15,2012-04-17,26.64991561126709,28.85664961910248,370,9890.050182497329,10644.929477990714,754.8792954933851,0.07632714511694938,Supertrend down,+7.63%
12,MNST,2012-06-20,2012-07-05,12.727395514965059,12.437981945991517,834,10646.491803059302,10342.157112128054,-304.3346909312477,-0.028585443595964266,Supertrend down,-2.86%
13,AAPL,2012-07-05,2012-07-20,21.48074310684204,21.861087635040285,480,10341.688961358032,10461.842098624878,120.1531372668469,0.0116183282745983,Leader rotation,+1.16%
14,STX,2012-07-20,2012-08-10,27.120619923591615,32.581056066513064,384,10445.561004811156,12473.592152952393,2028.0311481412373,0.19415243922343084,Leader rotation,+19.42%
15,EXPE,2012-08-10,2012-08-23,56.00387816619873,51.42275,222,12470.159535754805,11381.6029485,-1088.556587254805,-0.08729291587117738,Supertrend down,-8.73%
16,STX,2012-08-23,2012-09-13,34.802125000000004,30.064835609436038,324,11309.7161655,9711.783717244904,-1597.9324482550965,-0.14128846602972656,Supertrend down,-14.13%
17,VRTX,2012-09-13,2012-09-21,56.06396954154969,58.102713628768925,174,9784.396092330333,10079.542554891575,295.1464625612425,0.03016501578391728,Leader rotation,+3.02%
18,EXPE,2012-09-21,2012-10-18,59.06846954154969,54.11870076179505,170,10071.764741529636,9172.57859211664,-899.1861494129953,-0.08927791429691723,Supertrend down,-8.93%
19,BBBY,2012-11-26,2013-02-05,14.66196034383774,13.359930114269257,626,9205.922336768152,8338.226302777957,-867.6960339901943,-0.09425411189106436,Supertrend down,-9.43%
20,SIRI,2013-02-05,2013-02-14,31.34694923591614,31.75229923820496,260,8174.657421742209,8230.83100852749,56.17358678528035,0.0068716747243591225,Leader rotation,+0.69%
21,GILD,2013-02-14,2013-05-01,41.241770305633544,50.37432576179505,203,8397.195610159739,10195.310165255461,1798.1145550957226,0.21413274604680987,Leader rotation,+21.41%
22,BBBY,2013-05-01,2013-07-10,20.831199235916138,27.438779542922976,488,10196.122102808455,13349.954043695572,3153.8319408871175,0.3093168078105317,Leader rotation,+30.93%
23,NFLX,2013-07-10,2013-09-04,3.5131188699007034,4.1200966007709505,3741,13182.005425375426,15367.041539333673,2185.0361139582474,0.16575900581500602,Leader rotation,+16.58%
24,MU,2013-09-04,2013-10-02,14.992455267429353,17.62352461910248,1033,15533.667910128284,18150.48562873826,2616.8177186099765,0.16846103146725278,Leader rotation,+16.85%
25,TSLA,2013-10-02,2013-10-16,12.591526122570038,12.30817683172226,1401,17693.65028201378,17192.02447401916,-501.6258079946201,-0.028350611660079017,Supertrend down,-2.84%
26,META,2013-10-16,2013-11-11,50.11506091690064,46.969440914154056,351,17643.157540977616,16436.814939585467,-1206.342601392149,-0.06837452981929815,Supertrend down,-6.84%
27,NFLX,2013-11-11,2013-11-15,4.760701390028,4.915472522497177,3444,16445.0431540182,16878.100705377838,433.0575513596377,0.02633362207102663,Leader rotation,+2.63%
28,MU,2013-11-15,2013-12-19,19.40906915950775,21.697404542922975,867,16878.1459501771,18755.214789498077,1877.0688393209784,0.11121297593123858,Leader rotation,+11.12%
29,META,2013-12-19,2014-03-03,54.41149683380127,66.85955908584594,337,18391.68445629,22464.076397694294,4072.391941404294,0.22142571829583146,Leader rotation,+22.14%
30,ILMN,2014-03-03,2014-03-20,167.06928987121583,155.94278215789797,136,22789.587692752808,21144.5937183537,-1644.993974399109,-0.07218182253127048,Supertrend down,-7.22%
31,META,2014-03-20,2014-03-31,68.11201713943481,60.68882878112793,310,21178.069489164467,18757.09631138321,-2420.973177781256,-0.11431510218719043,Supertrend down,-11.43%
32,ILMN,2014-05-27,2014-06-26,156.71330980682373,166.48142432403566,119,18704.830518613056,19751.85562607656,1047.0251074635053,0.055976187884815065,Leader rotation,+5.60%
33,TSLA,2014-06-26,2014-07-15,15.835049701690675,15.092659604549409,1244,19757.898234389908,18718.94274241529,-1038.9554919746188,-0.052584312341798056,Supertrend down,-5.26%
34,ILMN,2014-07-15,2014-07-24,172.64184516906738,178.12735082244873,108,18701.255236094054,19180.04062715799,478.7853910639351,0.025601778330893277,Supertrend down,+2.56%
35,VRTX,2014-07-24,2014-08-07,98.01680775070191,86.80959243774414,192,18875.68476939917,16617.439422802734,-2258.2453465964354,-0.11963779720762513,Supertrend down,-11.96%
36,TSLA,2014-08-19,2014-09-08,17.283886419296266,18.480237421035767,976,16919.680364668853,17982.601587762114,1062.9212230932608,0.06282159001731613,Leader rotation,+6.28%
37,AVGO,2014-09-08,2014-10-09,8.820210660457612,8.27956181716919,2040,18047.209436575526,16839.635188704073,-1207.5742478714528,-0.06691196509439912,Supertrend down,-6.69%
38,MNST,2014-10-22,2014-11-03,16.469667194366455,16.783119944572448,1019,16832.93864367259,17050.693225848765,217.75458217617415,0.012936219087213763,Leader rotation,+1.29%
39,GILD,2014-11-03,2014-11-24,112.47846255493165,100.95833560943603,151,17035.20058933206,15198.974550993766,-1836.2260383382945,-0.10779010371549091,Supertrend down,-10.78%
40,VRTX,2014-11-24,2015-02-06,111.71732805633546,106.95932274246216,135,15127.084805468101,14396.190044521694,-730.8947609464067,-0.048316960626954675,Supertrend down,-4.83%
41,MNST,2015-02-13,2015-04-23,19.964901965141298,23.298332063674927,723,14477.927993159548,16794.15999979086,2316.2320066313114,0.15998366670463282,Leader rotation,+16.00%
42,EA,2015-04-23,2015-07-17,59.849638319015504,72.84057195281983,279,16748.143238278342,20261.552016112222,3513.40877783388,0.20977900223613366,Leader rotation,+20.98%
43,NFLX,2015-07-17,2015-08-28,11.751601206302643,11.617547728538513,1724,20320.539761104752,19968.566327148394,-351.97343395635835,-0.017321067161319537,Supertrend down,-1.73%
44,AMZN,2015-08-28,2015-10-06,25.913812500000002,27.23408711910248,768,19961.513423999997,20853.03157074829,891.5181467482944,0.04466185142437196,Supertrend down,+4.47%
45,AMZN,2015-10-16,2015-11-05,28.305895463943482,32.306467042922975,734,20838.856852346118,23641.80796907695,2802.95111673083,0.1345059921756342,Leader rotation,+13.45%
46,NFLX,2015-11-05,2015-12-11,11.392062500000002,12.126782957077028,2046,23378.084354625003,24736.96373638906,1358.879381764058,0.05812620748351538,Leader rotation,+5.81%
47,NVDA,2015-12-11,2016-01-13,0.8174744012653828,0.7591095973849297,30523,25026.62646327275,23100.791334257265,-1925.835129015486,-0.07695144736513737,Supertrend down,-7.70%
48,NVDA,2016-03-02,2017-01-10,0.8154713673591614,2.691207159280777,28089,22974.492563464737,75366.53794334663,52392.04537988189,2.280444072275116,Supertrend down,+228.04%
49,MU,2017-01-10,2017-01-30,22.393540611267092,23.784269695281985,3347,75176.03396718869,79367.13281809849,4191.098850909795,0.05575046500509773,Leader rotation,+5.58%
50,STX,2017-01-30,2017-02-03,44.46660152816773,45.24203637123108,1786,79655.60238029547,80559.87012814166,904.2677478461846,0.011352217807970133,Leader rotation,+1.14%
51,NVDA,2017-02-03,2017-02-21,2.8905793941020965,2.7016913635730746,27786,80558.59196165441,74843.98863955672,-5714.603322097697,-0.07093722944931591,Supertrend down,-7.09%
52,MU,2017-02-21,2017-03-21,23.65543084049225,26.26054923820496,3155,74856.7829546583,82603.47674799703,7746.693793338738,0.103486865018378,Leader rotation,+10.35%
53,INCY,2017-03-21,2017-04-07,148.5825406112671,139.27077573394777,551,82114.58681643859,76507.982837117,-5606.60397932159,-0.06827780783765935,Supertrend down,-6.83%
54,WDC,2017-04-07,2017-04-25,63.63272067260743,65.66099647140503,1172,74801.28127418079,76723.82380089324,1922.542526712452,0.025701999938549935,Leader rotation,+2.57%
55,CSX,2017-04-25,2017-05-12,16.755094541549685,17.330631565093995,4638,77943.25886915856,80138.33079130923,2195.0719221506733,0.028162434493988586,Leader rotation,+2.82%
56,NVDA,2017-05-12,2017-07-11,3.1704986517429354,3.8404806821346287,25513,81131.59889822325,97688.23709237088,16556.63819414763,0.2040713904198701,Supertrend down,+20.41%
57,NVDA,2017-07-18,2017-07-20,4.050566623926163,4.142027727842331,23683,96217.35806250664,97801.35575045446,1583.99768794782,0.016462701947384417,Leader rotation,+1.65%
58,VRTX,2017-07-20,2017-11-01,160.17991244506837,147.12898109436037,615,98806.17809217818,90212.87040291254,-8593.307689265639,-0.08697136004237283,Supertrend down,-8.70%
59,NVDA,2017-11-01,2017-12-06,5.2416004912853245,4.635536173820496,17248,90678.34664951033,79713.86674227775,-10964.479907232584,-0.12091618685563887,Supertrend down,-12.09%
60,DLTR,2017-12-19,2018-01-08,109.68427663803101,110.59386213302614,724,79649.65053479225,79829.74631575799,180.09578096574114,0.0022610994493574843,Leader rotation,+0.23%
61,TTWO,2018-01-08,2018-01-22,116.67475,117.59334164810181,682,79810.8960385,79958.06302699343,147.1669884934381,0.0018439460750125924,Leader rotation,+0.18%
62,ALGN,2018-01-22,2018-02-12,270.0444746704102,232.900125,295,79902.1093878543,68499.420264375,-11402.6891234793,-0.1427082365013581,Supertrend down,-14.27%
63,NVDA,2018-02-16,2018-03-13,6.144202729225159,6.277819166898728,11088,68331.3006212335,69399.63354580537,1068.3329245718633,0.015634605442295335,Leader rotation,+1.56%
64,MU,2018-03-13,2018-04-02,62.26325316619874,51.46269091415405,1116,69694.24790507821,57260.065971015334,-12434.181934062879,-0.1784104471720237,Supertrend down,-17.84%
65,NFLX,2018-05-11,2018-07-24,33.01444765281678,36.638959243774416,1729,57253.225931695364,63158.7142508885,5905.488319193137,0.10314682226357941,Supertrend down,+10.31%
66,ALGN,2018-07-24,2018-08-30,379.52843144226074,382.50536659240726,164,62429.39074480035,62542.68748079133,113.29673599097441,0.0018147980404632502,Leader rotation,+0.18%
67,AMZN,2018-08-30,2018-09-05,100.02080870056153,101.75264406585694,630,63202.14880979782,63911.853264205405,709.7044544075834,0.011229119069090299,Leader rotation,+1.12%
68,ILMN,2018-09-05,2018-10-11,343.8028652496338,296.0144482574463,185,63794.34066139579,54598.38490884468,-9195.955752551112,-0.14415002423743062,Supertrend down,-14.42%
69,ILMN,2018-12-04,2018-12-24,340.9191821899414,268.1477722473145,160,54710.710357841795,42774.93262889161,-11935.777728950183,-0.21816162961297403,Supertrend down,-21.82%
70,REGN,2019-01-10,2019-01-25,399.99909388732914,410.2337310943604,106,42527.103663913054,43354.321169514194,827.2175056011401,0.01945153641636521,Leader rotation,+1.95%
71,WDAY,2019-01-25,2019-03-05,173.3696656112671,180.05950682830812,251,43646.33342663332,45059.35140526362,1413.0179786302979,0.032374265320716855,Leader rotation,+3.24%
72,SBUX,2019-03-05,2019-03-22,71.29678744506836,71.94192804718018,629,44980.21634085684,45115.71832345131,135.50198259446915,0.0030124795658528214,Leader rotation,+0.30%
73,WDAY,2019-03-22,2019-04-26,196.544375,199.65007195281984,228,44946.553852499994,45383.65575602719,437.10190352719655,0.009724925852193866,Leader rotation,+0.97%
74,MELI,2019-04-26,2019-09-04,491.9267874450684,585.121,92,45393.03623828112,53669.638604,8276.602365718878,0.18233198418965868,Supertrend down,+18.23%
75,QCOM,2019-09-06,2019-10-15,79.07843908309937,76.76467725753784,680,53934.65859223709,52043.380593520356,-1891.2779987167305,-0.03506609753508194,Supertrend down,-3.51%
76,ASML,2019-10-16,2019-10-25,260.65039978027346,262.0563371887207,193,50456.44373906555,50425.14245819082,-31.301280874729855,-0.0006203624067642188,Leader rotation,-0.06%
77,LRCX,2019-10-25,2019-11-08,26.53975,27.089304162025453,1954,52014.2475145,52773.70283159994,759.4553170999425,0.014600909431367493,Leader rotation,+1.46%
78,QCOM,2019-11-08,2019-12-04,90.11497336196899,80.7986181716919,584,52785.02587672006,47044.83383323126,-5740.192043488794,-0.10874659902403139,Supertrend down,-10.87%
79,AMD,2019-12-04,2019-12-17,39.43907106971741,42.44623332405091,1189,47033.73466839967,50317.16570802964,3283.4310396299697,0.06981012804488174,Leader rotation,+6.98%
80,TSLA,2019-12-17,2020-02-12,25.303899748802188,51.7802147064209,1963,49820.56987251939,101339.6277842981,51519.05791177872,1.03409210379579,Supertrend down,+103.41%
