label,start,end,initial_equity,final_equity,total_return,total_return_display,qqq_return,qqq_return_display,alpha,alpha_display,cagr,cagr_display,mdd,mdd_display,sharpe,sharpe_display,calmar,calmar_display,win_rate,win_rate_display,payoff_ratio,payoff_display,trade_count,rank,objective,objective_value,param_entry,param_market_filter,param_asset_filter,param_rs_method,param_rs_period,param_sell_confirm_bars,param_hurdle,param_max_positions,param_st_period,param_st_multiplier
parameter_stability,2010-10-19 00:00:00,2026-07-17 00:00:00,10000.0,986944.0571655978,97.69440571655979,+9769.44%,12.682212146110261,+1268.22%,85.01219357044953,+8501.22%,0.3386928081608671,+33.87%,-0.4216869606614342,-42.17%,1.0085288124839473,1.01,0.8031853952268594,0.80,0.662962962962963,+66.30%,1.3504422592195524,1.35,270,23,total_return,97.69440571655979,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,6,2.0,2,10,3.0
parameter_stability,2010-10-19 00:00:00,2026-07-17 00:00:00,10000.0,891883.3443428989,88.1883344342899,+8818.83%,12.682212146110261,+1268.22%,75.50612228817964,+7550.61%,0.33010816494539785,+33.01%,-0.4360780191404684,-43.61%,1.0074828023661802,1.01,0.7569933600323574,0.76,0.664179104477612,+66.42%,1.3031258106076002,1.30,268,24,total_return,88.1883344342899,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,4,3.0,2,10,3.0
parameter_stability,2010-10-19 00:00:00,2026-07-17 00:00:00,10000.0,754071.2834950283,74.40712834950283,+7440.71%,12.682212146110261,+1268.22%,61.72491620339257,+6172.49%,0.3160018532201918,+31.60%,-0.42494658550519937,-42.49%,0.9801869949477713,0.98,0.7436272322191078,0.74,0.6585365853658537,+65.85%,1.2366361986129235,1.24,287,25,total_return,74.40712834950283,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,4,2.0,2,10,3.0
parameter_stability,2010-10-19 00:00:00,2026-07-17 00:00:00,10000.0,748494.6342005637,73.84946342005637,+7384.95%,12.682212146110261,+1268.22%,61.16725127394611,+6116.73%,0.31538148679349787,+31.54%,-0.4565745681267186,-45.66%,0.904537103054092,0.90,0.6907557030333022,0.69,0.5858585858585859,+58.59%,1.6821769840073202,1.68,198,26,total_return,73.84946342005637,single,1d,ichimoku_cloud+ema_trend,dual_momentum,125,5,3.0,2,10,3.0
parameter_stability,2010-10-19 00:00:00,2026-07-17 00:00:00,10000.0,748467.6781353061,73.8467678135306,+7384.68%,12.682212146110261,+1268.22%,61.164555667420345,+6116.46%,0.3153784776060857,+31.54%,-0.4254468991104444,-42.54%,0.9756736246311707,0.98,0.7412875220515232,0.74,0.6599326599326599,+65.99%,1.2265439698272038,1.23,297,27,total_return,73.8467678135306,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,4,1.5,2,10,3.0
parameter_stability,2010-10-19 00:00:00,2026-07-17 00:00:00,10000.0,730700.9287352184,72.07009287352183,+7207.01%,12.682212146110261,+1268.22%,59.38788072741157,+5938.79%,0.31337269916903465,+31.34%,-0.4621832702481311,-46.22%,0.902036109517914,0.90,0.6780269199289604,0.68,0.6,+60.00%,1.4785577328470232,1.48,210,28,total_return,72.07009287352183,single,1d,ichimoku_cloud+ema_trend,dual_momentum,125,5,2.0,2,10,3.0
parameter_stability,2010-10-19 00:00:00,2026-07-17 00:00:00,10000.0,715413.1003213641,70.54131003213641,+7054.13%,12.682212146110261,+1268.22%,57.85909788602615,+5785.91%,0.311609878313329,+31.16%,-0.4213277624836528,-42.13%,0.9575005295772264,0.96,0.7395901862161747,0.74,0.6714285714285714,+67.14%,1.219303290200762,1.22,280,29,total_return,70.54131003213641,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,5,2.0,2,10,3.0
parameter_stability,2010-10-19 00:00:00,2026-07-17 00:00:00,10000.0,713257.7996621709,70.3257799662171,+7032.58%,12.682212146110261,+1268.22%,57.64356782010684,+5764.36%,0.3113585210557699,+31.14%,-0.3902762871634984,-39.03%,0.9567304586324162,0.96,0.7977900049185733,0.80,0.6632302405498282,+66.32%,1.2104458838818637,1.21,291,30,total_return,70.3257799662171,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,5,1.5,2,10,3.0
parameter_stability,2010-10-19 00:00:00,2026-07-17 00:00:00,10000.0,627515.6042121295,61.75156042121295,+6175.16%,12.682212146110261,+1268.22%,49.06934827510269,+4906.93%,0.30073323320163614,+30.07%,-0.4621832702481311,-46.22%,0.8801148900379313,0.88,0.6506796168545483,0.65,0.5951219512195122,+59.51%,1.4871606320786264,1.49,205,31,total_return,61.75156042121295,single,1d,ichimoku_cloud+ema_trend,dual_momentum,125,5,2.5,2,10,3.0
parameter_stability,2010-10-19 00:00:00,2026-07-17 00:00:00,10000.0,614569.378464344,60.45693784643439,+6045.69%,12.682212146110261,+1268.22%,47.77472570032413,+4777.47%,0.2990119168847212,+29.90%,-0.4621832702481311,-46.22%,0.8773123224018003,0.88,0.646955301355221,0.65,0.5953488372093023,+59.53%,1.4515744741615328,1.45,215,32,total_return,60.45693784643439,single,1d,ichimoku_cloud+ema_trend,dual_momentum,125,5,1.5,2,10,3.0
