symbol,entry_time,exit_time,entry_price,exit_price,quantity,corporate_action_cash,pnl_pct,exit_reason
AMZN,2015-10-21,2016-01-05,564.151935,646.5365700000001,17.0,0.0,0.14374293272850136,Supertrend down
ATVI,2015-10-21,2016-01-08,34.016999999999996,36.771605,11.0,0.0,0.07881751064880116,Supertrend down
AMAT,2016-07-11,2016-10-12,25.0125,28.645670000000003,1.0,0.1,0.14695995978034992,Supertrend down
SYMC,2016-06-16,2016-10-14,19.019505,24.397795000000002,1.0,0.075,0.2841539899050074,Supertrend down
LLTC,2016-10-14,2016-11-14,58.939454999999995,60.219875,1.0,0.0,0.01968291986124715,Leader rotation
NVDA,2016-03-02,2017-01-04,32.586285,103.34830000000001,349.0,129.2696,2.1765462021872053,Supertrend down
TMUS,2017-01-04,2017-01-27,58.389179999999996,63.648160000000004,16.0,0.0,0.08788975712881841,Leader rotation
CSX,2016-11-10,2017-03-22,34.07692995,45.61708005,1.0,0.36,0.346529087564047,Supertrend down
NTES,2017-01-27,2017-04-11,251.42565,272.413725,143.0,144.43,0.08532455953542462,Supertrend down
MU,2016-11-14,2017-04-25,17.778885,26.696645000000004,4.0,0.0,0.4985925748408888,Supertrend down
STX,2017-04-25,2017-04-27,49.834905,42.148915,586.0,0.0,-0.15591890094670813,Supertrend down
SYMC,2017-03-22,2017-05-15,30.195089999999997,32.413785000000004,12.0,0.0,0.07133385569664497,Supertrend down
CSX,2017-04-27,2017-05-18,50.81549505,48.975500000000004,485.0,0.0,-0.038134986089309875,Supertrend down
MU,2017-05-26,2017-06-19,29.284634999999998,30.494745,809.0,0.0,0.03924178800799294,Supertrend down
NVDA,2017-05-15,2017-07-05,129.62478,141.82905000000002,3.0,0.42000000000000004,0.09304359409200513,Supertrend down
WDC,2017-04-11,2017-07-31,86.59327499999999,86.07694000000001,113.0,56.5,-0.0021804972568756353,Supertrend down
NFLX,2017-07-31,2017-08-11,184.35213,169.77507000000003,35.0,0.0,-0.08091184478894209,Supertrend down
NVDA,2017-07-18,2017-08-14,161.86088999999998,159.59016499999998,155.0,0.0,-0.015998839920696395,Supertrend down
VRTX,2017-07-31,2017-09-01,153.066495,160.67962,21.0,0.0,0.04763999331272206,Leader rotation
MU,2017-09-01,2017-09-12,32.146065,33.673155,6.0,0.0,0.045411809160187167,Leader rotation
TSLA,2017-09-01,2017-09-25,356.29755975,352.97292525,95.0,0.0,-0.01131042018002515,Supertrend down
NVDA,2017-09-25,2017-09-26,177.838875,176.361775,188.0,0.0,-0.010287239945828253,Supertrend down
ATVI,2017-09-12,2017-10-10,66.51324,61.119425,1.0,0.0,-0.08292983071140003,Supertrend down
MU,2017-09-26,2017-10-24,35.247614999999996,41.71913000000001,24.0,0.0,0.18123666225091006,Leader rotation
VRTX,2017-09-13,2017-10-26,156.868395,144.80756,1.0,0.0,-0.07872943937627319,Supertrend down
LRCX,2017-10-10,2017-11-30,186.223065,197.311295,173.0,0.0,0.057425763228425186,Supertrend down
MU,2017-10-26,2017-11-30,41.190585,44.13792,6.0,0.0,0.06941264241943523,Supertrend down
ALGN,2017-10-24,2017-12-05,202.86137999999997,224.90749000000002,5.0,0.0,0.10646060075907249,Supertrend down
ISRG,2017-11-30,2017-12-05,398.1994002,369.5055548,12.0,0.0,-0.07391301499193748,Supertrend down
MELI,2017-12-19,2018-01-08,326.19301499999995,327.95594,47.0,7.05,0.003855136280197735,Leader rotation
WYNN,2017-11-30,2018-01-18,155.75784,173.27332,11.0,0.0,0.11023059616414566,Leader rotation
MAR,2017-12-19,2018-01-24,133.94693999999998,146.04694,134.0,0.0,0.08815578707567329,Leader rotation
ALGN,2018-01-18,2018-02-06,272.386125,232.593645,6.0,0.0,-0.147794615336712,Supertrend down
NVDA,2018-01-24,2018-02-06,239.15952,204.29780000000002,83.0,0.0,-0.1474744029114432,Supertrend down
TTWO,2018-01-08,2018-02-09,116.55824999999999,105.44725000000001,132.0,0.0,-0.09713326869770078,Supertrend down
