label,start,end,initial_equity,final_equity,total_return,total_return_display,qqq_return,qqq_return_display,alpha,alpha_display,cagr,cagr_display,mdd,mdd_display,sharpe,sharpe_display,calmar,calmar_display,win_rate,win_rate_display,payoff_ratio,payoff_display,trade_count,data_quality,data_version,price_mode,unresolved_corporate_action_count,fold,train_start,train_end,param_entry,param_market_filter,param_asset_filter,param_rs_method,param_rs_period,param_sell_confirm_bars,param_hurdle,param_max_positions,param_st_period,param_st_multiplier,param_min_rotation_profit_pct
expanding_walk_forward_fold_01_train,2016-01-04 00:00:00,2019-12-31 00:00:00,10000.0,34628.66682862915,2.4628666828629155,+246.29%,1.0143632921492798,+101.44%,1.4485033907136358,+144.85%,0.36530342689864215,+36.53%,-0.29490254005044614,-29.49%,1.0439377835618937,1.04,1.238725942598369,1.24,0.6829268292682927,+68.29%,1.6517513705368905,1.65,41,degraded,adjustment_factors=release-exact-factors-20260715-da009d5f18a94da6b137a488279a51be-adjustment_factors;corporate_actions=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-corporate_actions;daily_price_raw=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-daily_price_raw;release=20260715-20260719T130946573430Z;symbol_history=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-symbol_history,total_return_adjusted,0,1,2016-01-01,2019-12-31,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,1,2.0,1,10,3.0,0.0
expanding_walk_forward_fold_02_train,2016-01-04 00:00:00,2020-12-31 00:00:00,10000.0,262986.29144983867,25.298629144983867,+2529.86%,1.9937947027700877,+199.38%,23.304834442213778,+2330.48%,0.9252755989948893,+92.53%,-0.3205775620005584,-32.06%,1.5957985419343605,1.60,2.886276859867309,2.89,0.7321428571428571,+73.21%,1.9302973036559827,1.93,56,degraded,adjustment_factors=release-exact-factors-20260715-da009d5f18a94da6b137a488279a51be-adjustment_factors;corporate_actions=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-corporate_actions;daily_price_raw=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-daily_price_raw;release=20260715-20260719T130946573430Z;symbol_history=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-symbol_history,total_return_adjusted,0,2,2016-01-01,2020-12-31,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,1,2.0,1,10,3.0,0.0
expanding_walk_forward_fold_03_train,2016-01-04 00:00:00,2021-12-31 00:00:00,10000.0,258129.73776267897,24.812973776267896,+2481.30%,2.8146823974822004,+281.47%,21.998291378785694,+2199.83%,0.7206111944866354,+72.06%,-0.4079957106266062,-40.80%,1.3480976912292473,1.35,1.7662224766527799,1.77,0.6923076923076923,+69.23%,1.7287551640411036,1.73,65,degraded,adjustment_factors=release-exact-factors-20260715-da009d5f18a94da6b137a488279a51be-adjustment_factors;corporate_actions=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-corporate_actions;daily_price_raw=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-daily_price_raw;release=20260715-20260719T130946573430Z;symbol_history=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-symbol_history,total_return_adjusted,0,3,2016-01-01,2021-12-31,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,1,2.0,1,10,3.0,0.0
expanding_walk_forward_fold_04_train,2016-01-04 00:00:00,2022-12-30 00:00:00,10000.0,369224.9224077738,35.92249224077738,+3592.25%,1.5719743523647107,+157.20%,34.35051788841267,+3435.05%,0.6761599320150875,+67.62%,-0.4079957106266062,-40.80%,1.3366674576881237,1.34,1.6572721585151728,1.66,0.7222222222222222,+72.22%,1.5907579618044494,1.59,72,degraded,adjustment_factors=release-exact-factors-20260715-da009d5f18a94da6b137a488279a51be-adjustment_factors;corporate_actions=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-corporate_actions;daily_price_raw=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-daily_price_raw;release=20260715-20260719T130946573430Z;symbol_history=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-symbol_history,total_return_adjusted,0,4,2016-01-01,2022-12-31,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,1,2.0,1,10,3.0,0.0
expanding_walk_forward_fold_05_train,2016-01-04 00:00:00,2023-12-29 00:00:00,10000.0,596229.9069467002,58.622990694670015,+5862.30%,2.9828445298171955,+298.28%,55.64014616485282,+5564.01%,0.6687195689060785,+66.87%,-0.4079957106266062,-40.80%,1.3419327112309176,1.34,1.6390357827023438,1.64,0.7195121951219512,+71.95%,1.604286978491954,1.60,82,degraded,adjustment_factors=release-exact-factors-20260715-da009d5f18a94da6b137a488279a51be-adjustment_factors;corporate_actions=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-corporate_actions;daily_price_raw=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-daily_price_raw;release=20260715-20260719T130946573430Z;symbol_history=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-symbol_history,total_return_adjusted,0,5,2016-01-01,2023-12-31,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,1,2.0,1,10,3.0,0.0
expanding_walk_forward_fold_06_train,2016-01-04 00:00:00,2024-12-31 00:00:00,10000.0,866727.6724806422,85.67276724806422,+8567.28%,4.001581712452114,+400.16%,81.67118553561211,+8167.12%,0.642605932070891,+64.26%,-0.4079957106266062,-40.80%,1.2909135536827645,1.29,1.5750310979592572,1.58,0.71875,+71.88%,1.4371227347427178,1.44,96,degraded,adjustment_factors=release-exact-factors-20260715-da009d5f18a94da6b137a488279a51be-adjustment_factors;corporate_actions=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-corporate_actions;daily_price_raw=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-daily_price_raw;release=20260715-20260719T130946573430Z;symbol_history=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-symbol_history,total_return_adjusted,0,6,2016-01-01,2024-12-31,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,1,2.0,1,10,3.0,0.0
expanding_walk_forward_fold_07_train,2016-01-04 00:00:00,2025-12-31 00:00:00,10000.0,1355309.4236570925,134.53094236570925,+13453.09%,5.040535993653305,+504.05%,129.49040637205596,+12949.04%,0.6345881413939072,+63.46%,-0.4079957106266062,-40.80%,1.2548899891418055,1.25,1.5553794436203674,1.56,0.7264150943396226,+72.64%,1.3554702760927846,1.36,106,degraded,adjustment_factors=release-exact-factors-20260715-da009d5f18a94da6b137a488279a51be-adjustment_factors;corporate_actions=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-corporate_actions;daily_price_raw=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-daily_price_raw;release=20260715-20260719T130946573430Z;symbol_history=terminal-tail-snapshot-metadata-20260715-526c52cc923747138fe232538cf58f1b-symbol_history,total_return_adjusted,0,7,2016-01-01,2025-12-31,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,1,2.0,1,10,3.0,0.0
