trade_no,trade_id,symbol,entry_time,exit_time,entry_price,exit_price,quantity,corporate_action_cash,entry_cost,exit_proceeds,pnl_cash,pnl_pct,exit_reason,pnl_pct_display
1,1,AMZN,2015-10-21,2015-11-06,566.9712850000001,651.3975,17.0,0.0,9648.150356845,11062.6837425,1414.5333856549987,0.14661187205187365,Leader rotation,+14.66%
2,2,NFLX,2015-11-09,2015-12-03,113.98348,128.90709,100.0,0.0,11409.746347999999,12877.818291000001,1468.0719430000026,0.12866823663063642,Leader rotation,+12.87%
3,3,ATVI,2015-12-04,2015-12-14,37.766580000000005,37.065015,340.0,0.0,12853.4778372,12589.5029949,-263.9748423000001,-0.020537230906954584,Leader rotation,-2.05%
4,4,NVDA,2015-12-15,2016-01-08,33.12117,30.501315,380.0,0.0,12598.630644599998,11578.9092003,-1019.7214442999975,-0.08093906973430232,Supertrend down,-8.09%
5,5,NVDA,2016-03-03,2016-03-22,33.08095,33.6141,350.0,0.0,11589.9108325,11753.170065,163.2592325000005,0.014086323429011616,Leader rotation,+1.41%
6,6,CTRP,2016-03-23,2016-05-03,45.116785,43.986734999999996,260.0,0.0,11742.094464099999,11425.1145489,-316.9799151999996,-0.026995176726701264,Supertrend down,-2.70%
7,7,NVDA,2016-05-27,2017-01-05,45.951350000000005,103.95508500000001,248.0,63.28960000000001,11407.3307348,25755.080218920004,14411.039084120004,1.2633138653687563,Supertrend down,+126.33%
8,8,STX,2017-01-06,2017-02-03,39.27483,45.060795000000006,657.0,0.0,25829.36687331,29575.337372685004,3745.9704993750056,0.14502757724370663,Leader rotation,+14.50%
9,9,NVDA,2017-02-06,2017-02-15,114.62700000000001,108.30105000000002,257.0,0.0,29488.598138999998,27805.536480150004,-1683.0616588499943,-0.05707499728934451,Supertrend down,-5.71%
10,10,STX,2017-02-16,2017-03-03,48.56565,48.75039,574.0,0.0,27904.559783099994,27954.74113614,50.1813530400068,0.001798320899167205,Leader rotation,+0.18%
11,11,CSX,2017-03-06,2017-03-08,49.39016,48.044295000000005,565.0,0.0,27933.345840399998,27117.881648325005,-815.4641920749928,-0.029193215762058355,Leader rotation,-2.92%
12,12,MU,2017-03-07,2017-03-22,25.70058,25.588485000000002,1.0,0.0,25.726280579999997,25.562896515000002,-0.16338406499999536,-0.006350862282323622,Leader rotation,-0.64%
13,13,INCY,2017-03-23,2017-04-04,141.906215,137.250945,191.0,0.0,27131.191152064996,26188.715564505,-942.4755875599949,-0.034737715062991725,Supertrend down,-3.47%
14,14,WDC,2017-04-05,2017-04-26,83.82853500000002,84.03525,312.0,0.0,26180.657422920005,26192.779002000003,12.1215790799979,0.00046299750553191465,Leader rotation,+0.05%
15,15,CSX,2017-04-27,2017-05-15,51.069445550000005,51.823494450000005,512.0,0.0,26173.703677721598,26507.095529241604,333.39185152000573,0.012737664322370224,Leader rotation,+1.27%
16,16,NVDA,2017-05-16,2017-07-06,137.13009,141.089715,193.0,27.020000000000003,26492.573477369995,27203.084680005002,737.5312026350075,0.027839167956446698,Supertrend down,+2.78%
17,17,NVDA,2017-07-19,2017-08-09,167.24481500000002,167.503635,163.0,0.0,27288.165749845,27275.789412495,-12.37633735000054,-0.00045354229608018937,Leader rotation,-0.05%
18,18,VRTX,2017-08-10,2017-10-18,152.846055,154.435905,178.0,0.0,27233.804387789998,27462.101498909997,228.2971111199986,0.008382857858168169,Leader rotation,+0.84%
19,19,NVDA,2017-10-19,2017-10-31,195.50942,204.001785,140.0,0.0,27398.690118799997,28531.6896501,1132.9995313000036,0.04135232474207151,Leader rotation,+4.14%
20,20,ALGN,2017-11-01,2017-12-06,244.3365,226.90512,117.0,0.0,28615.9578705,26521.35114096,-2094.606729539999,-0.07319715590227771,Supertrend down,-7.32%
21,21,DLTR,2017-12-20,2018-01-09,110.23296500000001,108.89775,240.0,0.0,26482.3675116,26109.324539999998,-373.0429716000035,-0.014086466077347537,Leader rotation,-1.41%
22,22,TTWO,2018-01-10,2018-01-12,114.54656000000001,116.306775,228.0,0.0,26142.732295679998,26491.4267553,348.694459620001,0.013338103136129487,Leader rotation,+1.33%
23,23,ALGN,2018-01-16,2018-02-07,263.56166,239.67450000000002,100.0,0.0,26382.522166,23943.48255,-2439.039615999998,-0.09244906914712148,Supertrend down,-9.24%
24,24,NVDA,2018-02-20,2018-03-14,246.096125,248.078025,97.0,14.549999999999999,23895.195449124996,24039.504856575,158.85940745000335,0.006648173595743545,Leader rotation,+0.66%
25,25,MU,2018-03-15,2018-03-27,60.098735000000005,54.75717,402.0,0.0,24183.85116147,21990.36995766,-2193.481203809999,-0.09070024410771593,Supertrend down,-9.07%
26,26,NFLX,2018-05-14,2018-07-19,329.04987500000004,369.01917000000003,66.0,0.0,21739.009041750003,24330.90995478,2591.9009130299964,0.11922810777861237,Supertrend down,+11.92%
27,27,ALGN,2018-07-20,2018-09-04,373.10083000000003,384.51348,2.0,0.0,746.94786166,768.25793304,21.310071380000068,0.028529529936187403,Leader rotation,+2.85%
28,28,AMZN,2018-07-20,2018-09-05,1835.047555,2026.9003950000001,13.0,0.0,23879.473833215,26323.355429865,2443.8815966500006,0.10234235535167868,Leader rotation,+10.23%
29,29,ILMN,2018-09-06,2018-10-08,351.03010500000005,327.21039,77.0,0.0,27056.347403085,25170.00482997,-1886.3425731150019,-0.06971904023156938,Supertrend down,-6.97%
30,30,XLNX,2018-12-06,2018-12-14,88.24268000000001,87.565725,273.0,0.0,24114.34189164,23881.537482075,-232.80440956500024,-0.009654188806442532,Leader rotation,-0.97%
31,31,CI,2018-12-17,2018-12-20,402.3652423993427,193.73854500000002,61.8236,12382.5,24900.543467800002,11965.636696351337,-552.4067714486664,-0.022184526701716667,Supertrend down,-2.22%
32,32,REGN,2019-01-11,2019-01-29,407.881075,413.43354000000005,59.0,0.0,24089.048408425,24368.186281140002,279.13787271500405,0.011587750083867032,Leader rotation,+1.16%
33,33,XLNX,2019-01-30,2019-04-29,112.09314,117.897975,220.0,79.2,24685.151290799997,25911.6169455,1305.6656547000057,0.05289275481113287,Supertrend down,+5.29%
34,34,MELI,2019-04-30,2019-08-07,494.273635,593.6966100000001,52.0,0.0,25727.931249019995,30841.351496280004,5113.420247260008,0.19874976335125205,Supertrend down,+19.87%
