trade_no,trade_id,symbol,entry_time,exit_time,entry_price,exit_price,quantity,corporate_action_cash,entry_cost,exit_proceeds,pnl_cash,pnl_pct,exit_reason,pnl_pct_display
1,1,AMZN,2015-10-20,2015-11-06,572.286,654.6725,17.0,0.0,9738.590861999997,11118.3030675,1379.7122055000036,0.14167472738624265,Leader rotation,+14.17%
2,2,NFLX,2015-11-09,2015-12-03,113.41668,129.55519,100.0,0.0,11353.009667999999,12942.563481000001,1589.5538130000023,0.14001166734494874,Leader rotation,+14.00%
3,3,ATVI,2015-12-04,2015-12-14,37.57878,37.25136500000001,344.0,0.0,12940.02742032,12801.655090440003,-138.37232987999778,-0.01069335677470895,Leader rotation,-1.07%
4,4,NVDA,2015-12-15,2016-01-08,32.956469999999996,30.654665000000005,388.0,0.0,12799.897470359998,11882.116009980002,-917.7814603799961,-0.07170225093640403,Supertrend down,-7.17%
5,5,NVDA,2016-03-02,2016-03-21,32.586285,33.493245,365.0,0.0,11905.888019024997,12212.809390575,306.92137155000273,0.02577895668593211,Leader rotation,+2.58%
6,6,MAT,2016-03-22,2016-03-31,32.406195,33.493245,376.0,0.0,12196.914049319998,12580.86665988,383.95261056000163,0.031479488090793595,Leader rotation,+3.15%
7,7,NVDA,2016-04-01,2016-04-05,35.427704999999996,35.46226,355.0,0.0,12589.412110274998,12576.5131977,-12.898912574997667,-0.0010245841872529304,Leader rotation,-0.10%
8,8,CTRP,2016-04-06,2016-05-03,43.871925,44.207885,286.0,0.0,12559.917920549999,12630.81165489,70.89373434000117,0.0056444424866828324,Supertrend down,+0.56%
9,9,NVDA,2016-05-26,2017-01-05,45.272625,104.47773500000001,279.0,71.2008,12643.693437374997,29120.138776935004,16547.646139560005,1.3087667952028044,Supertrend down,+130.88%
10,10,STX,2017-01-06,2017-02-03,39.07953,45.287345,746.0,0.0,29182.482709379998,33750.57501063,4568.092301249999,0.1565354238959833,Leader rotation,+15.65%
11,11,NVDA,2017-02-06,2017-02-15,114.05699999999999,108.84555000000002,295.0,0.0,33680.46181499999,32077.327812750005,-1603.1340022499826,-0.047598337904500077,Supertrend down,-4.76%
12,12,STX,2017-02-16,2017-03-03,48.324149999999996,48.995490000000004,665.0,0.0,32167.695309749994,32549.418849150003,381.72353940000903,0.011866673559429941,Leader rotation,+1.19%
13,13,MU,2017-03-06,2017-03-22,25.512749999999997,25.717135000000003,1.0,0.0,25.538262749999994,25.691417865000002,0.15315511500000767,0.005997084316160306,Leader rotation,+0.60%
14,14,CSX,2017-03-06,2017-03-23,49.14455999999999,46.37689995,661.0,0.0,32517.038714159993,30624.47573608305,-1892.5629780769414,-0.058202193462739804,Supertrend down,-5.82%
15,15,INCY,2017-03-24,2017-03-30,139.03948499999998,140.02995,220.0,0.0,30619.275386699996,30775.782411000004,156.5070243000082,0.005111388898771496,Leader rotation,+0.51%
16,16,WDC,2017-03-31,2017-04-24,83.651805,84.51762005,368.0,0.0,30814.648104239997,31071.381694221604,256.7335899816062,0.00833154378765344,Leader rotation,+0.83%
17,17,CSX,2017-04-25,2017-05-15,50.21519505,52.084044950000006,618.0,0.0,31064.023531440896,32155.751839320903,1091.7283078800065,0.03514445920938192,Leader rotation,+3.51%
18,18,NVDA,2017-05-16,2017-07-06,136.44818999999998,141.799065,235.0,32.900000000000006,32097.389974649992,33289.45749472501,1224.967520075017,0.03816408502505886,Supertrend down,+3.82%
19,19,NVDA,2017-07-18,2017-07-21,161.86088999999998,166.586665,206.0,0.0,33376.68668334,34282.53613701,905.8494536700018,0.027140185071820033,Leader rotation,+2.71%
20,20,VRTX,2017-07-24,2017-10-27,162.411165,141.339295,210.0,0.0,34140.45099465,29651.570698049996,-4488.8802966,-0.1314827474687852,Supertrend down,-13.15%
21,21,NVDA,2017-10-30,2017-11-01,201.96093,209.245325,147.0,0.0,29717.944966709994,30728.303712225003,1010.3587455150082,0.033998270965465816,Leader rotation,+3.40%
22,22,ALGN,2017-11-02,2017-12-06,235.49768999999998,228.04592,130.0,0.0,30645.314399699993,29616.323630400002,-1028.9907692999914,-0.033577425764966695,Supertrend down,-3.36%
23,23,DLTR,2017-12-19,2018-01-09,109.57475999999998,109.44525,271.0,0.0,29724.45471995999,29630.00308725,-94.45163270999183,-0.003177573267527989,Leader rotation,-0.32%
24,24,TTWO,2018-01-10,2018-01-12,113.97695999999999,116.89152500000002,260.0,0.0,29663.643609599996,30361.404703500004,697.7610939000078,0.023522433827859013,Leader rotation,+2.35%
25,25,ALGN,2018-01-16,2018-02-07,262.25106,240.8795,115.0,0.0,30189.030771899994,27673.441357500004,-2515.5894143999903,-0.08332792905499653,Supertrend down,-8.33%
26,26,NVDA,2018-02-16,2018-02-28,245.5227,246.37675000000002,113.0,16.95,27771.809165099996,27812.732177250004,57.873012150008435,0.002083876199996837,Leader rotation,+0.21%
27,27,ALGN,2018-03-01,2018-03-08,255.1275,264.78754000000004,109.0,0.0,27836.706397499995,28832.980018140002,996.2736206400077,0.03578992451238716,Leader rotation,+3.58%
28,28,STX,2018-03-01,2018-03-08,53.846909999999994,56.971500000000006,1.0,0.0,53.90075690999999,56.9145285,3.0137715900000117,0.0559133445014921,Leader rotation,+5.59%
29,29,MU,2018-03-09,2018-03-27,55.787879999999994,55.03247,517.0,0.0,28871.176293959994,28423.33520301,-447.8410909499944,-0.015511702273235284,Supertrend down,-1.55%
30,30,NFLX,2018-05-11,2018-07-19,329.814825,370.87447000000003,86.0,0.0,28392.439024949996,31863.30921558,3470.870190630005,0.1222462849204311,Supertrend down,+12.22%
31,31,ALGN,2018-07-20,2018-09-04,371.24553,386.44668,2.0,0.0,743.2335510599999,772.12046664,28.886915580000164,0.03886653870617329,Leader rotation,+3.89%
32,32,AMZN,2018-07-20,2018-09-05,1825.922505,2037.090945,17.0,0.0,31071.723267584995,34595.915518935006,3524.1922513500103,0.11342120361333663,Leader rotation,+11.34%
33,33,ILMN,2018-09-06,2018-10-08,349.284555,328.85549,101.0,0.0,35313.017795055,33181.19008551,-2131.8277095449957,-0.06036945700640528,Supertrend down,-6.04%
34,34,XLNX,2018-12-04,2018-12-21,93.96696,83.81807,354.0,0.0,33297.56814384,29641.925183220003,-3655.6429606199963,-0.10978708549610061,Supertrend down,-10.98%
35,35,REGN,2019-01-10,2019-01-28,399.5996999999999,414.90244500000006,74.0,0.0,29599.94817779999,30672.078149070003,1072.129971270013,0.03622067055083944,Leader rotation,+3.62%
36,36,XLNX,2019-01-29,2019-04-29,110.05499999999999,118.490725,279.0,100.44,30736.050344999992,33025.853362725,2390.24301772501,0.07776675893276708,Supertrend down,+7.78%
37,37,MELI,2019-04-30,2019-08-07,491.81578499999995,596.68151,67.0,0.0,32984.60925259499,39937.68350883,6953.074256235006,0.21079753296419557,Supertrend down,+21.08%
38,38,QCOM,2019-09-06,2019-10-10,78.99947999999999,74.312825,507.0,314.34,40092.78909635999,37638.925672725,-2139.5234236349934,-0.05336429497316364,Supertrend down,-5.34%
39,39,ASML,2019-10-16,2019-10-28,260.39013,267.256305,145.0,0.0,37794.32541885,38713.412060775,919.0866419250015,0.02431811209062107,Leader rotation,+2.43%
