param_entry,param_market_filter,param_asset_filter,param_rs_method,param_rs_period,param_sell_confirm_bars,param_hurdle,param_max_positions,param_st_period,param_st_multiplier,start,end,total_return,qqq_return,alpha,mdd,cagr,calmar,sharpe,sortino,win_rate,payoff_ratio,trade_count,score,source
single,1d,ichimoku_cloud,dual_momentum,125,2,1.25,1,10,3.0,2010-07-06 00:00:00,2026-07-16 00:00:00,197.86254037362662,15.571362153222964,182.29117822040365,-0.5156985816874946,0.3912787674512046,0.7587353957244612,0.9883545869304011,1.5882788620676163,0.6294117647058823,1.4349065636890308,170,197.47963214588452,optuna
single,1d,ichimoku_cloud,dual_momentum,50,4,1.25,1,10,3.0,2010-04-27 00:00:00,2026-07-16 00:00:00,9.177431455641063,13.30766113210844,-4.130229676467376,-0.7133046179427973,0.15379038506163023,0.21560267688322085,0.5478285041851115,0.8177118752529695,0.6858638743455497,0.7684738285852547,191,8.623222616412377,optuna
single,1d,ichimoku_cloud,dual_momentum,150,1,1.25,3,10,3.0,2010-08-10 00:00:00,2026-07-16 00:00:00,25.290532895823766,14.12620591682701,11.164326978996757,-0.38255867353744877,0.2277747624586015,0.5953982440194355,0.8662589764893278,1.2873165764812131,0.6171079429735234,1.192346738597608,491,25.010473726288488,optuna
single,1d,ichimoku_cloud,dual_momentum,100,6,1.25,4,10,3.0,2010-05-28 00:00:00,2026-07-16 00:00:00,15.155690691491152,14.481140922450715,0.6745497690404374,-0.3741068125086391,0.1882077965511939,0.5030857238047428,0.8048514346359571,1.168705854791924,0.6096579476861167,1.1993457959069156,497,14.88055078452332,optuna
single,1d,ichimoku_cloud,dual_momentum,125,4,1.25,4,10,3.0,2010-07-06 00:00:00,2026-07-16 00:00:00,14.071476401554849,15.571362153222964,-1.4998857516681152,-0.3921021239385216,0.18442878114792616,0.4703590465040252,0.8024437658234573,1.1668725444542996,0.6291390728476821,1.0711195319736824,604,13.781868015378734,optuna
single,1d,ichimoku_cloud,dual_momentum,150,5,1.25,5,10,3.0,2010-08-10 00:00:00,2026-07-16 00:00:00,43.807839720829655,14.12620591682701,29.681633804002644,-0.3735701374753211,0.26955944818732114,0.7215765425177457,1.056147370692791,1.5696432729371297,0.634974533106961,1.356189599683984,589,43.540668031970185,optuna
single,1d,ichimoku_cloud,dual_momentum,100,2,1.25,6,10,3.0,2010-05-28 00:00:00,2026-07-16 00:00:00,18.815470482534522,14.481140922450715,4.334329560083807,-0.33336939507648267,0.20334107539387958,0.6099572378179119,0.9203636748774711,1.3276401916362583,0.6205357142857143,1.1451070608507803,896,18.57638587671966,optuna
single,1d,ichimoku_cloud,dual_momentum,125,4,1.25,6,10,3.0,2010-07-06 00:00:00,2026-07-16 00:00:00,7.662295433023427,15.571362153222964,-7.909066720199537,-0.3027407399832027,0.14420003299799133,0.4763152557729499,0.7135154114118735,1.016544020618994,0.6106508875739645,1.1213215879064933,845,7.441508303379221,optuna
single,1d,ichimoku_cloud,dual_momentum,75,3,1.5,1,10,3.0,2010-04-27 00:00:00,2026-07-16 00:00:00,12.243387760780712,13.30766113210844,-1.0642733713277277,-0.6855303997461148,0.17267576231001547,0.25188636765629313,0.5836101837925447,0.8840702349558841,0.6306818181818182,0.9882359417418092,176,11.712471746497595,optuna
single,1d,ichimoku_cloud,dual_momentum,100,1,1.5,2,10,3.0,2010-05-28 00:00:00,2026-07-16 00:00:00,29.041388125001536,14.481140922450715,14.560247202550821,-0.4699730198379112,0.2347799012711087,0.49956038189613916,0.8034340899484885,1.222754275531714,0.6035502958579881,1.1614138551146405,338,28.689512731829662,optuna
single,1d,ichimoku_cloud,dual_momentum,100,5,1.5,3,10,3.0,2010-05-28 00:00:00,2026-07-16 00:00:00,26.973403991529224,14.481140922450715,12.49226306907851,-0.40411277290549497,0.2293335420884477,0.5674988702771817,0.871285610207769,1.2829576390866966,0.6256830601092896,1.1770745088076888,366,26.676252341511063,optuna
single,1d,ichimoku_cloud,dual_momentum,50,4,1.5,4,10,3.0,2010-04-27 00:00:00,2026-07-16 00:00:00,16.379044833699584,13.30766113210844,3.071383701591145,-0.3468794376620785,0.19249071708252208,0.5549210941411922,0.7904885050607197,1.1546185046704742,0.6415929203539823,0.9516934582789676,678,16.125255938721743,optuna
single,1d,ichimoku_cloud,dual_momentum,50,4,1.5,5,10,3.0,2010-04-27 00:00:00,2026-07-16 00:00:00,11.405946979820525,13.30766113210844,-1.901714152287914,-0.2928521246763339,0.16796228697223214,0.5735395881381002,0.7511912878127183,1.0820777191096207,0.6349397590361445,0.9273602361010769,830,11.194201018713839,optuna
single,1d,ichimoku_cloud,dual_momentum,150,4,1.5,6,10,3.0,2010-08-10 00:00:00,2026-07-16 00:00:00,16.982477588284464,14.12620591682701,2.8562716714574545,-0.35619297113411397,0.19885054162379712,0.5582663267909512,0.9201004055884056,1.3234122268889186,0.6312576312576312,1.1616663327485335,819,16.725126223544827,optuna
